coin_name,kyc_or_not,audit_or_not,description,current_presale,soft_cap,hard_cap,currency,private_sale_start_time_(UTC),private_sale_end_time_(UTC),date_last_updated,first_release_for_project,vesting_for_project,status,minimum_buy,maximum_buy,website_link
 Big Bait Blue Book , No , No ," Big Bait Blue Book Makes Fish Sales Simplified With Advanced Technology For Placing, Servicing, Delivery And Sharing The Profit To The Holder. This is a project designed to transform the fishing industry. The platform aims to be self-sustaining with profits from Fish Trading . Backed by blockchain, BBB allow users to earn profits from Fish Trading and profits (USDT) will be distributed to the holders equivalent to 1% of the holdings.  For further details, reach out to siva@blockchainbluebook.com ",0 ," 1,000 "," 1,000 ", BNB , 2022.11.27 04:00 , 2022.12.10 23:59 , 2023-09-14 , 10% , 30% each 30 days , canceled ,1.0," 1,000 ", https://blockchainbluebook.com/
 ERODES , Yes , No ," projects aim to transform people's time into a renewable source of passive income, and this is what we are working for. Production of a p2e game with a set of nft elements, which are now available at the ⛵open sea with a lot of mutual trust and partnership with major well-established companies in the trading markets such as 💥Audit💥kyc💥 ✅NULS and ✅Nabox. You can now Reserve your seat to Mars with erodes Private sale 0.000,000,2 Pre_sale You can achieve 100x when listing 💰 Enjoy and get money🚀 ",4.033358369064904224 , 40 , 80 , BNB , 2022.12.01 00:01 , 2022.12.05 23:59 , 2023-09-14 , 80% , 20% each 2 days , canceled ,0.07, 7 , https://www.erodes.org/
 Metex , No , No ," Metex Buy, sell & trade digital currencies and precious metals with AUD now An Australian digital metals exchange backed by a treasury of physical precious metals. Metex is an Australian registered company focused on building an ecosystem around the tokenization and trade of precious metals, with flat delivery of physical metals available within Australia. ",0 ," 2,500 "," 5,000 ", BNB , 2022.11.29 10:00 , 2022.12.19 10:00 , 2023-09-14 , 50% , 15% each 90 days , ended ,0.1, 10 , https://metex.exchange/
 Bomberzilla Private Sale (Launch in 7 days) , Yes , No ," You are on the Private Sale of the best crypto game of 2022. Grab the chance to buy BBZ tokens at the lowest price to make big profits. You can buy up to 3 BNB per wallet, the minimum allocation is 0.1 BNB per wallet, and 1 BNB = 50.000 BBZ tokens. Our game is ready, so there are no promises. Prove your skills and get rich by blasting your enemies on the battlefield. Official launch at pinksale on December 1st! ",0 , 40 , 80 , BNB , 2022.11.24 19:00 , 2022.11.25 19:00 , 2023-09-14 , 95% , 5% each 1 days , ended ,0.1, 3 , https://bomberzilla.com/
 ETTOKEN ( EcoTire Alliance ) , No , No ," This project will associate the used tire piles with a crypto token that will consistently measure and evaluate the rate of recycling worldwide. Based on the rate of recycling, the token value will either increase or decrease reflecting the progress in the global recycling of used tires. ETTOKENS will be offered for sale during all ITO (Initial Token Offering) events (pre-sale) at Approximately $0.01 per ETTOKEN or $1 USD = 100 ETTOKEN. St. Jude Children's Research Hospital as our official Charity ",0.358649218369376192 , 25 , 50 , BNB , 2022.11.22 07:59 , 2022.11.27 07:00 , 2023-09-14 , 90% , 10% each 1 days , ended ,0.01, 100 , https://ecotirealliance.org/
 Bomberzilla Private Sale , Yes , No ," You are on the Private Sale of the best crypto game of 2022. Grab the chance to buy BBZ tokens at the lowest price to make big profits. Use the tokens to purchase the best characters and increase your chances of winning the big prize. You can buy up to 3 BNB per wallet, the minimum allocation is 0.1 BNB per wallet, and 1 BNB = 50.000 BBZ tokens. Our game is ready, so there are no promises. Prove your skills and get rich by blasting your enemies on the battlefield. ",3.14153787 , 150 , 300 , BNB , 2022.11.22 12:00 , 2022.11.24 12:00 , 2023-09-14 , 95% , 5% each 1 days , canceled ,0.1, 3 , http://bomberzilla.com/
 Dogecola V2 (Presale) Are you ready for the drink ? , No , No , Welcome to the DogeCola (V2) Private Sale. This is an exclusive private sale for the ones that believe in the project. 100 BUSD is equivalent to 12500 DOGECOLA tokens (> 30% from the re-launch price). You will receive 50% within 3 days from the launch and 25% every 30 days with 1 month cliff. We'll be airdropping tokens at launch to those who contributed to the private sale based on how much BUSD they contributed. ,"7,769.09375515619 "," 20,000 "," 40,000 ", BUSD , 2022.11.25 15:00 , 2022.12.02 15:00 , 2023-09-14 , 50% , 25% each 30 days , ended ,100.0," 2,000 ", https://www.dogecola.finance/
 Farmarok 30% On Top Private Sale , Yes , No ," Welcome to Farmarok. The first project, giving away ~90% of total supply to its community. Farmarok Fairlaunch starts at Mid December. Once fair launch is finalized, the launch price will be calculated for your contribution of 30% more tokens on top. You will receive your initial investment after finalizing fair launch and before pancakeswap launch. Your 30% bonus will be vested for 2 months, with 2 installments 50% each one.Farmarok official advisor: Saul Pink 🔥 ","2,039.7668715712286 "," 15,000 "," 30,000 ", USDT , 2022.11.27 12:00 , 2022.12.04 12:00 , 2023-09-14 , 80% , 20% each 1 days , canceled ,100.0," 2,000 ", https://www.farmarok.cash/
 ZIBU (Series 2) Private Sale , No , No ," Welcome to the ZIBU (Series 2) Private Sale. This is an exclusive private sale for our loyal LMS holders. If you’re eligible to participate you will have the ability to contribute 2 BNB for max allocation and 0.1 BNB for minimum allocation. Each BNB is equivalent to 840,000,000 tokens. We'll be airdropping tokens at launch to those who contributed to the private sale based on how much BNB they contributed. ",150 , 75 , 150 , BNB , 2022.11.18 20:00 , 2022.11.19 20:00 , 2023-09-14 , 95% , 5% each 1 days , ended ,0.1, 2 , https://t.me/zibuio
 CAISHENKIN.FINANCE , No , No ," The God Caishen is here on BSC to bless his believers in many ways such as Hourly 10% BUSD Rewards, Live Lottery Platform and Staking Rewards. CMC & CGO Pre-Listings, More On Upcoming CEX Listings and much more. Pre & Post Marketing, #Doxxed Team ✅, #Anti-Bot & Anti-Sniper Function ✅, #Autoliquidity Mechanism ✅, Come join us early !!!!! We aim to reach 🚀 ATH x10000 listing price don't miss the opportunity 🚀🌏 ✅ SAFU ✅ Audit ✅ CEX Coming ✅ ",0 , 7.5 , 15 , BNB , 2022.11.18 01:00 , 2022.11.21 05:00 , 2023-09-14 , 70% , 10% each 1 days , canceled ,0.1, 0.5 , https://caishenkin.finance/
 QATAR CHAMPS WORLD CUP ⚽ , No , No ," QATAR CHAMPS WORLD CUP is a meme token created with the Blockchain Binance smart chain (bsc) following the adaptation of DOGE and SHIBA to the crypto market and celebrating the 2022 World Cup in QATAR. We distributed the tokens very meticulously so that investors are secure, distribution security and , unique NFTs, Humanitarian project, and many others so that the project grows and does not stop after the World Cup. Don't miss this opportunity with QCWC! Join us now. ",6.146 , 60 , 120 , BNB , 2022.11.15 21:00 , 2022.11.20 17:00 , 2023-09-14 , 40% , 20% each 3 days , canceled ,0.1, 4 , https://qatarchampswc.com/
 DinoX Inu Investment , Yes , No ," DOXI is safe platfrom for Best Earning Stream, Well-Developed project over a Year! ✅the first project with an environmentally friendly ecosystem. ✅Doxi Labs App already Live. 📙Best Docs & White papper! Based Dev with Solid marketing. ✅CMC & Gecko Pre-listed, Binance NFT. ✅ Audit & KYC by Cyberscope. ✅ 3 Years Locking Token in PinkLock. ✅Game -fo Play to earn already live. ✅Join Presale Get Free NFT Whitelist. ✅20 Twitter & YouTube influencers promote. ",21.78373932035818409 , 20 , 40 , BNB , 2022.11.15 05:16 , 2022.11.18 05:16 , 2023-09-14 , 95% , 5% each 5 days , ended ,0.01, 1 , https://dinoinu.site/
 Farmarok 30% On Top Private Sale , No , No ," Welcome to Farmarok. The first project, giving away ~ 90% of total supply to its community. Farmarok will be fair launch!!! Once fair launch is finalized, the launch price will be calculated for your contribution of 30% more tokens on top. Private sale is vested, first release after one month 10% and then monthly 10% Please read carefully our whitepaper https://www.farmarok.cash/static/media/whitepaper.7854152f4cd29b654ba2.pdf Farmarok lottery security is powered by Chainlink. KYC with cookiesale.io ",0 ," 30,000 "," 60,000 ", USDT , 2022.11.27 12:00 , 2022.12.04 12:00 , 2023-09-14 , 80% , 20% each 1 days , canceled ,500.0," 2,000 ", https://www.farmarok.cash/
 Babydogeworldcup , No , No ," WHAT IS $BDWC COIN? The Best Football Fans And Best BDoge Users Have Come Together To Form The Greatest Community On The Planet, And It's All Thanks To $BDWC. BDOGE WORLD CUP Began As A Meme, But As We Develop, So Does BDOGE WORLD CUP, Consequently, We Have Decided To Shift Our Focus From BDOGE WORLD CUP As A Meme To BDOGE WORLD CUP As A Utility Token With Its Own Game—And One Of The Best Games Available, One That Is NFT-Capable ",2.20044139 , 20 , 40 , BNB , 2022.11.14 08:58 , 2022.11.29 09:00 , 2023-09-14 , 50% , 20% each 3 days , ended ,0.5, 1 , https://babydogeworldcup.com/
 MISSION 1 (M01) PRIVATE SALE , No , No ," M01 is a Bep-20 token designed by investors for investors. 👉The main goal of M01 is to represent a club of crypto investors to coordinate actions and investments together, generating important impacts on the digital assets of the crypto world. This FIRST ROUND of private sale is foreseen in the tokenomics of the project. Limited supply at an exclusive price. With only 0,1 BNB you'll receive: ✅10,000,000,000 $M01 (10 Billions) ✅ Priority rights for Recurring $M01 AirDrops ",0.7 , 50 , 100 , BNB , 2022.11.19 08:00 , 2022.12.19 08:00 , 2023-09-14 , 80% , 20% each 7 days , canceled ,0.05, 0.3 , http://mission1.club/
 Game of Galaxy - Private Sale , No , No ," Game of Galaxy is the #1 game on the Binance Smart Chain. Although significantly different from the most typical representatives of turn-based strategies, the Game of Galaxy space strategy game is considered this genre. The player-driven economy allows for a unique gameplay experience where users determine the cost of space battles themselves. Playing GOG is both enjoyable and rewarding! Earn in-game through a different type of P2E segment, collect rare astronauts and become a mega holder. ",10.942 , 20 , 40 , BNB , 2022.11.09 19:00 , 2022.11.10 18:00 , 2023-09-14 , 90% , 10% each 1 days , canceled ,0.5, 5 , https://gameofgalaxy.com/
 Enviro Token (NVRO) , Yes , No ," We develop profitable *WasteCash* and *WasteBoss*, The dApps generate passive income for everyone by deploying our ""SmartBin"" in schools and communities in 3rd world country partners. Every income generated from the ""SmartBin"" will be converted into BUSD rewards for All NVRO holders. #DYOR! Check our Website and our Whitepaper for details! Come join us early !!!!! We aim to reach 🚀 ATH x10000 listing price don't miss the opportunity 🚀🌏 ✅ SAFU ✅ Audit ✅ KYC ✅ CEX Coming ",10 , 5 , 10 , BNB , 2022.11.07 04:00 , 2022.11.08 03:01 , 2023-09-14 , 50% , 25% each 2 days , ended ,0.1, 1 , https://nvro.io/
 GOLDEN REGENT INVESTMENT , Yes , No ," Welcome to the GRI coin project. This presale strive to establish the real GRI, therefore we as GRI TEAM invite you all to come and grab the chance to get the most of GRI You will make a profit in 3 different ways on your investment in GRI coin: 1. As a cryptocurrency, your investment is multiplied with every rise. 2. You receive a revenues from the real investments of GRI Project. 3. You get a share of the Slippage set for investors in every trade. Thanks in advance and together TO THE MOON... ",75 , 38 , 75 , BNB , 2022.11.04 17:00 , 2022.11.10 17:00 , 2023-09-14 , 95% , 5% each 5 days , ended ,0.06, 0.15 , https://coingri.com/
 Swap Ocean Private Sale , No , No ," 🌐 Swap Ocean is a project that allows anyone to create and launch his own DEX powered by Swap Ocean Ecosystem. The project states, that users can also make a liquidity pool for any pair they like and get an opportunity to earn trading fees as liquidity providers. 💠 SWAPO is a BEP20 token, that powers the Swap Ocean ecosystem and can be used in a wide range of use cases on the platform. 💥 We are glad to inform you that SWAPO token will be available on Coinsbit exchange on 07.11.2022 at 11:00 UTC! ",2.2 , 50 , 100 , BNB , 2022.11.03 00:00 , 2022.11.06 23:59 , 2023-09-14 , 90% , 10% each 3 days , canceled ,0.1, 2 , https://swapocean.com/
 Astro Aptos Private Sale , No , No ," Astro Aptos is the world's first blockchain-enabled third-person shooter (TPS) game on the Aptos Network, developed by game industry veterans. The game is, both PVP, and PVE. $ASTRA (Astro Aptos's Token) will be launched on APTOS with 80% of the sum raised as liquidity. Private sale: 0.016$/$ASTRA Public Launch: 0.048$/$ASTRA Tokens will be airdropped in APTOS wallets on our Website. Step 1. Connect wallet to verify Step 2. Paste APTOS address. ",0.92 , 225 , 450 , BNB , 2022.11.05 13:00 , 2022.11.15 13:00 , 2023-09-14 , 80% , 20% each 7 days , canceled ,0.75, 10 , https://www.astroaptos.com/
 ARSY , No , No , Arsy objective is to bring peace of mind for cryptocurrency investors. We aim to built an environment friendly cryptocurrency mining and conventional farm by utilizing green energy. Investors can easily stake their crypto and earn stable coins without having to think about market condition. Users can also spend their reward instantly from our wallet without having to cash out. Arsy team committed not to bring any institution or venture capital to this project because Arsy came from people for the people. ,0 , 150 , 300 , BNB , 2022.11.02 22:30 , 2022.11.04 00:00 , 2023-09-14 , 90% , 10% each 1 days , canceled ,0.1, 1 , https://www.arsy.io/
 Metaverse Exchange DAO Presale - STAGE 1 , No , No , The Metaverse Exchange DAO is a 🎮 game finance DAO to bring together Web2 and Web3 to create a real seamless metaverse enabled by the $MXDT token. We provide game financing to build the Ebay & Paypal for gamers. 1️⃣ Item-trade for Web2 & Web3 with our $MXDT token. 2️⃣Scholarships for specific items & NFTs based on DAO voting. 3️⃣ $MXDT tokenholders receive LP and staking fees. ,598.1568087459622 ," 10,000 "," 20,000 ", USDC , 2022.11.01 21:30 , 2022.11.06 18:02 , 2023-09-14 , 25% , 25% each 30 days , ended ,5.0," 1,000 ", https://metaverse-exchange.xyz/
 SolarDoge® Private Sale , No , No ," Solar Doge is the best 2022 Eco-Sustainable Project to emerge on the new Green Binance Smart Chain. We are going to create a circular economy where, in addition to investments, everyone can interact with all users by purchasing and reselling sustainable technologies or buying and renting virtual land and roofs. As a fully decentralized platform our DAO and community members are the sole decision makers for our project. ",1.01357089 , 33 , 66 , BNB , 2022.11.01 17:17 , 2022.11.08 13:13 , 2023-09-14 , 13% , 10% each 10 days , ended ,0.33, 3 , https://solardoge.dog/
 0x3F03Bb2Cf44acA67957251567b7F8F149B8fc863 , No , No ," * The best one-stop finance service for the HongKong Crypto! *香港将与2022年10月31日-11月4号举办""香港金融科技周”.届时香港特区政府讲发表虚拟资产在香港发展的政策宣言以确保香港的虚*拟资产金融中心的地位 *并且,大会将会包括将以先到先得的方式，以非同质化代币（NFT）形式向参加者派发限量版的出席证明协议（POAP）代币 *为了配合此次大会在BSC上拟发行POAP代币. *一站式虚拟资产,与银行服务,合法,安全,高效 *全部解决香港银行开户,远程见证 *数字资产体现香港银行户口 *POAP代币持有人享有特别优惠 *POAP代币直接支付服务费用 *业务接洽whatup: +852-46348569 *Telegram:https://t.me/poaphongkong 推特: https://twitter.com/yoanmellianaa Youtube:https://t.co/CV10GCBD7q ",2 , 1 , 2 , BNB , 2022.10.31 12:12 , 2022.11.01 10:00 , 2023-09-14 , 40% , 20% each 3 days , ended ,0.01, 10 , https://twitter.com/yoanmellianaa
 PUPILS TOKEN , No , No , Pupils token is a new and proud accomplishment created by our team to provide education and social service to poor students and needy people from the money derived by crypto markets. Our main objective is to reach at least 1000 students with free education in another two years. One big motive of this project is to improve the token value from 0.000005$ to 0.1$ within 2025. The contributions from investors and the public to communal activities are greatly welcome in the form of cryptocurrencies. ,0 ," 25,000 "," 50,000 ", USDT , 2022.10.27 23:30 , 2022.10.31 23:30 , 2023-09-14 , 50% , 10% each 1 days , ended ,10.0," 1,000 ", https://pupilstoken.com/
 Bich Dont Kill My Vibe Private Sale , No , No , BichDontKillMyVibe is a new fun FOMO token that stresses tokenomics and strong community that will incentivize holders while giving more power to the average investor. We strive to be an asset that will be a store of value that provides an asset for our investors that will be an excellent long-term investment. Every month tokens will be burned to create scarcity. 3% of all holdings is dedicated to community and charitable causes. The token will be a part of a pool that owns a series of NFTs. ,0 ," 4,000 "," 8,000 ", BNB , 2022.10.27 15:30 , 2022.10.31 23:59 , 2023-09-14 , 40% , 10% each 30 days , canceled ,2.0, 15 , https://cryptoeducation.pro/
 Arora Whitelist , No , No ," ARORA TOKEN is created to be more than just a cryptocurrency, it is a portal leading to a new futuristic world where it will be at the core of many evolutionary projects that will change many aspects of our life. ARORA Token is your ticket for a successful investment and a way to be involved in its revolutionary projects such as Blockchain, Arordex, Arorsale, NFT marketplace and many more. Our ecosystem will be a getaway from the world to a separate universe. 1 BNB = 9200 (AROR) ",40 , 20 , 40 , BNB , 2022.11.03 15:00 , 2022.11.07 22:00 , 2023-09-14 , 95% , 5% each 1 days , ended ,1.0, 2 , https://aroratoken.com/
 BattleForTEN Pre-sale 1 , Yes , No , IOTEN Entertainment is happy to introduce a turn-based P2E game that will give a breath of fresh air to the Web3 space. The best part for early adopters is that Battle For TEN Beta is now 100% playable at https://play.battleforten.app/! ✅Chainlink VRF integrated ✅Audit by SolidProof-https://app.solidproof.io/projects/battleforten ✅Fully built on Unity ✅DApp and CMC-Prelisting before the Pre-Sale ✅Tesla model 3 reward for the Grand Tournament winner. BattleForTEN is a subsidiary project of IOTEN ($IOTN). ,0 , 250 , 500 , BNB , 2022.11.10 14:00 , 2022.11.13 18:00 , 2023-09-14 , 95% , 5% each 1 days , canceled ,1.0, 5 , https://www.battleforten.app/
 Royalty Diplomat Finance Private Sale , Yes , No ," Royalty Diplomat Finance ($RDF) is a Hyper Reflection token on BSC 2 Years LOCKED Liquidity 12% Total tax on Buy/Sell✅ RDF Holders Earn 7% Reward in BUSD ✅Presale has KYC + Audit + Safu. Team Led by Doxxed Dev including CEO, COO & a Senior Marketing Advisor & Software Engineer. We Aim for fulll Transparency and Fully Community Owned Project. All the proceeds from the Private sale will go towards the development of software to track Royalty Rewards, also will be used to do Marketing for the upcoming presale. ",0 , 18 , 36 , BNB , 2022.10.24 01:00 , 2022.10.26 23:00 , 2023-09-14 , 95% , 5% each 3 days , ended ,0.5, 2 , http://royaltyfinance.co/
 NDB Quantum Private Sale , No , No ," NDB Token is made by NDB Quantum Software. NDB is the leader in the development and delivery of quantum computing systems, software, and services. We are the only quantum computing company that builds and delivers quantum systems, cloud services, application development tools, and professional services to support the end-to-end quantum journey. Please visit our web site for more information about us. ",0.41 , 500 ," 1,000 ", BNB , 2022.10.22 19:00 , 2022.10.27 00:00 , 2023-09-14 , 95% , 5% each 1 days , ended ,0.1, 100 , https://ndbquantumsoftware.com/company/token/index.html
 uvax , No , No , A community driven token on the bsc network. With tokenomics : 3% holders 3% pool 3% charity with a unique payment and loan system rewards for the pinksale buyers ,0 , 150 , 300 , BNB , 2022.10.18 19:03 , 2022.10.31 19:59 , 2023-09-14 , 90% , 10% each 3 days , ended ,1.0, 50 , https://uvax.be/
 Test UV ( This is only a test ) , No , No ," UV is a project designed around utilization. Traditional demand for currency is driven by three factors: Usage, Storage, and Loss. ",60 , 150 , 300 , USDT , 2022.10.17 12:32 , 2022.10.18 12:32 , 2023-09-14 , 90% , 10% each 60 days , ended ,10.0, 20 , https://uvtoken.io/
 Transplant Coin , No , No ," 📣TRANSPLANT COIN 📣 - This utility token will solve the socio-economic need of transplant patients, who find themselves in financial hardship with anti-rejection life long medication in this new life. Our future efforts will be to ensure the sustainability of the Token. The App and QR code will be used for discount rewards for pharmaceuticals post-transplant. Also, diet/fitbit, matching donors, news, community peer to peer mentorship and gaming systems will launch next spring. ",21.689622402201370791 , 20 , 40 , BNB , 2022.10.18 20:00 , 2022.10.25 20:00 , 2023-09-14 , 95% , 5% each 1 days , ended ,0.05, 5 , https://www.transplantcoin.org/
 Enrgy Green , Yes , No , Enrgy Green is a sustainable and ecological initiative that aims to develop green energy power plants connected to ecological and environmentally friendly mining farms in order to develop our decentralized energy network. Invest in renewable energy and green mining. ✅ KYC & AUDIT | ✅ CMC CG Fast-track | ✅ Professional Team | ✅ Huge Marketing | ✅Liquidity Lock | Participate in the private sale and Win a Legendary NFT and Exclusive Access to Enrgy Green. ,7.958547788741027898 , 50 , 100 , BNB , 2022.10.13 13:00 , 2022.10.14 13:00 , 2023-09-14 , 90% , 1% each 1 days , canceled ,0.5, 100 , https://enrgygreen.com/
 Grow Mine Operation (GMO) Presale , Yes , No ," Grow Mine Operation (GMO) is a unique tokenized host mining platform backed by a cryptocurrency mining operation. GMO's main purpose is to educate communities about blockchain technology, demystify the mining process through tokenization, while remaining a environmentally conscious multi-utility host mining platform with true sustainability. GMO’s host mining structure will offer ease of use and allow for a gateway into mining and blockchain technologies. ",0 , 141 , 281 , BNB , 2022.12.12 12:00 , 2022.12.16 23:59 , 2023-09-14 , 50% , 10% each 7 days , canceled ,0.1, 10 , https://gmo.work/
 JennyCo Private Sale IDO , No , No , We all have health data worth up to $5000. JennyCo allows users to unlock it. JennyCo is building a web3 health data exchange where large institutions who buy the data meet those users wishing to sell it. Users gain full control of their health data and its storage is encrypted. In addition users will receive the $JCO token for uploading their data and receive personalised insights and products recommendations based upon it. 1 $JCO = 16c #BreatheToEarn ,"96,601.55846806652 "," 90,000 "," 180,000 ", BUSD , 2022.10.22 13:00 , 2022.10.25 13:00 , 2023-09-14 , 80% , 20% each 7 days , ended ,250.0," 10,000 ", https://jennyco.com/
 PoshCoin Private sale , No , No ," PoshCoin is a new crypto token that will revolutionize the digital economy of the cannabis sector. PoshCoin will reduce the existing friction points in the cannabis segment and become the preferred mode of transaction. This new crypto will be listed on all the major exchange sites ✅No tax, ✅No Transaction Fee, ✅Audited, ✅KYC'ed. Other ecosystems of PoshCoin - ✅PoshMarket. ✅PoshWallet. ✅PoshExchange.✅ PoshNFT. ✅PoshGames ",0.35123205617542247 , 10 , 20 , BNB , 2022.10.08 10:47 , 2022.10.10 09:50 , 2023-09-14 , 10% , 10% each 90 days , ended ,0.01, 10 , https://poshcoin.io/
 Coinology Private Sale Round 1 , Yes , No ," Bonus 5% tokens for everyone contributing in Round 1! The All-In-One Marketing & Analytics Hub. Charting, swapping and buying Crypto has never been easier. Your chance to buy the next major Crypto platform at a huge discount! Private Sale spots are extremely limited, first come first serve. Public team, PinkSale KYC, Audited, 100+ influencers bullish on $OLOGY. Private Sale token price: $0.25. Listing price on tier 1 exchanges: $0.47. Further Public Launchpads/IDO's will happen later at higher prices. ",107.509212594484700415 , 350 , 700 , BNB , 2022.10.11 20:00 , 2022.10.18 20:00 , 2023-09-14 , 90% , 10% each 1 days , canceled ,0.2, 50 , https://coinologyhub.com/
 Crypto Soccer Private Sales , No , No ," ✅Crypto Soccer Qatar World Cup Windfall ($CRS) is a combination of Soccer is Metaverse elements + ✅NFT+ ✅+Play to make money. ✅Live tracking ✅Live farming Experienced team $CRS is ready for CMC CG ✅Fast tracking before launch ✅Many big influencers ✅Lots of VC marketing ✅KYC, ✅AUDIT and ✅SAFU ✅Low tax trades 1 ",40.16848875 , 38 , 76 , BNB , 2022.10.08 22:00 , 2022.10.13 22:00 , 2023-09-14 , 95% , 5% each 30 days , ended ,0.5, 3 , https://www.cryptosoccer.co/
 MetaSetGO , No , No ," MetaSetGO’s objective is change the game! Building a community through PvP Games, tournaments and much more in our Metaverse. Our own NFT marketplace, with unique game integrated NFT’s. Other Utilities will include a Post to Earn Social App, and a Launchpad for presale investors with an insurance, to help solve ongoing issues we all face today. 5% $BUSD rewards on all transactions, plus 3% of all revenue will be distributed to all holders & 1% automatic Buy back & Burn system. ",46 , 38 , 75 , BNB , 2022.10.08 20:00 , 2022.10.10 20:00 , 2023-09-14 , 95% , 5% each 1 days , ended ,0.9999, 1 , https://www.metasetgo22.com/
 SpookyCat Private Sale , No , No , Welcome To the Mystery-Launch of 2K22 #SpookyCat #Hallowe’en Private on pinksale guarantee 4X private to launch ! First come first serve !!!!!! #MIAAW ,24.7 , 37.5 , 75 , BNB , 2022.10.05 17:00 , 2022.10.06 17:00 , 2023-09-14 , 95% , 5% each 1 days , canceled ,0.5, 1 , https://t.me/+OiaK8XQnV8ozYTZl
 VitalVeda $VVFIT Private sale , Yes , No ," VitalVeda is creating the first incentivized virtual gym in the world, leveraging WEB3, NFT, P2E, AI, IoT and VR technologies to revolutionize the fitness industry. A combination of cutting-edge technologies connects fitness enthusiasts all over the world while simultaneously keeping them motivated and active with VitalVeda's exclusive Metaverse workout and sports packages. VVFIT Token Have approved Audit badge ",8.688919833391448297 , 20 , 40 , BNB , 2022.10.13 00:00 , 2022.10.17 23:59 , 2023-09-14 , 80% , 10% each 3 days , canceled ,0.2, 2 , https://vitalveda.fit/
 ConnectProtocol Presale , Yes , Yes ," The First Practical Use-Case For SoulBound Tokens. Vitalik Butterin (ETH Founder) “SBTs will be the next cycle innovation. Your whole identity could soon live in SBTs on web3” Connect is the first WEB3 Social Networking Ecosystem, It enables you to Turn your Wallet Address into a SoulBound Identity to interact from one address to another. The Protocol Incentivizes networking via the first Connect-To-Earn program and allows users to discover a new way to work from home with VR meet-ups on MetaConnect. ",0 , 250 , 500 , BNB , 2022.10.10 15:00 , 2022.10.12 15:00 , 2023-09-14 , 40% , 10% each 30 days , canceled ,0.1, 8 , https://www.connectprotocol.io/
 Connect: A Trend Forecast , No , No , @VitalikButterin (Eth Founder) “SBTs will be the next cycle innovation. Your whole identity could soon live in SoulBound tokens on web3” Connect is a WEB 3.0 Social Media providing the first use-case to SBTs. It enables you to Turn your Wallet Address into a SoulBound Identity to interact from one address to another. The Protocol Incentivizes networking via the first Connect-To-Earn program and allows users to discover a new way to work from home with VR meet-ups on MetaConnect.👉 WL+15K BUSD Contest Live! ,0 , 250 , 500 , BNB , 2022.10.05 15:00 , 2022.10.07 15:00 , 2023-09-14 , 50% , 20% each 3 days , canceled ,0.1, 10 , https://www.connectprotocol.io/
 Waters8y(WAZR) Private Sale - Round 2 , No , No ," WAZR is a utility token that will invest in profitable water projects that are helping in the conservation of water resources and then they will also reinvest a portion of profits into non-profit projects in underdeveloped areas around the globe, protecting the earth's most valuable resource water. IDO PINK SALE OCT-NOV, PreSale Round 2 Price: $0.0065, NO TOKEN TAX, Save Water Resources Projects, Exciting NFT based Game with the help of token, TOTAL HC IN 4 ROUNDS (700 BNB), for ROUND 2 HC is ( 40 BNB) ",0 , 20 , 40 , BNB , 2022.09.27 11:59 , 2022.10.02 11:59 , 2023-09-14 , 50% , 25% each 1 days , ended ,0.001, 40 , http://waters8y.com/
 PooDealz , No , No ," PooDealz is the first automated decentralized escrow system without third-party providers. Poodealz allows people to make deals without being scammed. Through an innovative system of smart contracts and monetary incentives, the risk of being cheated is drastically reduced. The platform is completely decentralized, anonymous, fast and without third party supervisors. 350 Holders will generate passive income in the future through the commissions and fees by holding a NFT. Our Mint is already live! ",0 , 29.75 , 59.5 , BNB , 2022.09.26 00:13 , 2022.10.02 21:59 , 2023-09-14 , 95% , 5% each 1 days , ended ,1.18, 1.19 , https://poodealz.app/
 T2C Token for Tits2Clits Private Sale💎20% Token Ownership For Investors From Total Supply Or Offering A Real Partnership💎 , No , No ," Private sales are about to end. If anyone is able to invest, I mean you have funds but not investing just because of not clear about the project or you have doubts. Please contact me directly so I can give you all the details and evidence that your investment is completely secure. how much promise it has, too. After my presentation, you might contribute and work on the project with me if you were persuaded. I'm also ready to share the business or token ownership. I mean, I'm offering a real partnership. ",0.1 , 50 , 100 , BNB , 2022.09.25 12:00 , 2022.10.05 18:00 , 2023-09-14 , 90% , 5% each 2 days , ended ,0.1, 100 , https://www.tits2clits.club/
 🏃‍♂️ Run&Burn 🏃‍♀️ 💥 PRIVATE SALE💥 , Yes , No , Run&Burn is the Only Move2Earn Web3 on the Blockchain with over 80+ Sports Models.🏆 Smooth integration with any Fitness Band. Private sale = 30% extra tokens. KYC✔️ Audit✔️ Safu✔️ Experienced Team✔️ Certik KYC (PAID) 💰 Run&Burn Partnerships = Dogechain✔️ PinkSale✔️ CryptoChina✔️ SkiiNetwork✔️ BrandB✔️ MasterMind✔️ BSC News✔️ SolidProof✔️AirdropDetective✔️ Application Live on Google Play Store ▶️ CMC & CG Pre-Listing l CEX Listings🌎 So Much More.🏃‍♂️🏃‍♀️ Health❤️ Wealth💰 Love💋 = Happiness😊 ,0.8 , 50 , 100 , BNB , 2022.09.24 17:00 , 2022.09.26 17:00 , 2023-09-14 , 95% , 5% each 1 days , canceled ,0.1, 7.5 , https://runandburn.app/
